species,mass,temperature,metabolic_rate,size_ref,rate_ref
Amoeba chaos,500000,35,0.005354,1,1
Amoeba chaos,500000,30,0.004584,1,1
Amoeba chaos,500000,25,0.003659,1,1
Amoeba chaos,500000,20,0.002508,1,1
Amoeba chaos,500000,15,0.000998,1,1
Anabaena variabilis,0.065,10,0.167397,2,3
Anabaena variabilis,0.065,15,0.250666,2,3
Anabaena variabilis,0.065,20,0.36999,2,3
Anabaena variabilis,0.065,25,0.489314,2,3
Anabaena variabilis,0.065,30,0.667871,2,3
Anabaena variabilis,0.065,35,0.883341,2,3
Anabaena variabilis,0.065,40,1.073916,2,3
Bresslaua insidiatrix,200,25,0.029333,4,4
Chaos chaos,19000,25,0.011833,4,4
Collozum inerme,1000000000,16,0.000442,5,5
Colpidium spp.,1500,17,0.005351,5,5
Paramecium caudatum,3000,25,0.011167,4,4
Paramecium caudatum,8000,25,0.0105,4,4
Paramecium spp.,6000,20,0.002792,5,5
unspecified microbes,0.042,5,0.01005,6,6
unspecified microbes,0.042,15,0.029257,6,6
unspecified microbes,0.042,25,0.045634,6,6
Yeast,0.335,5,0.028138,7,7
Yeast,0.335,10,0.069342,7,7
Yeast,0.335,15,0.136677,7,7
Yeast,0.335,20,0.261274,7,7
Yeast,0.335,25,0.272268,7,7
Yeast,0.335,30,0.60297,7,7
Yeast,0.335,35,0.814134,7,7
Yeast,0.335,40,1.01507,7,7
